,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
113595,113595,France,"A tight wine with notes of almond and green fruit that add tension to the structure. The acidity is dominant in this complex, textured wine. It could age beautifully over the next 2–3 years.",Saphir Brut Vintage,89,15.0,Loire Valley,Saumur,,Roger Voss,@vossroger,Bouvet-Ladubay 2010 Saphir Brut Vintage  (Saumur),Chenin Blanc-Chardonnay,Bouvet-Ladubay
53593,53593,Portugal,"A smooth, ripe, juicy wine, with vanilla flavors from wood aging and fresh berry fruits as companions. The wine is soft, gently tannic and ready to drink.",Vale de Lobos,85,,Tejo,,,Roger Voss,@vossroger,Quinta da Ribeirinha 2013 Vale de Lobos Red (Tejo),Portuguese Red,Quinta da Ribeirinha
37418,37418,Spain,"Gritty tarry slightly gaseous aromas of jammy black fruits are a bit less than precise. This feels flush but soft around the edges. Blackened berry and black-plum flavors are lightly charred and chocolaty, while this tastes of black pepper and shows some heat on the finish. Drink through 2022.",Elite,90,33.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Pradorey 2010 Elite  (Ribera del Duero),Tinta Fina,Pradorey
16789,16789,France,"With attractive mint aromas, this polished wine balances structure and fruit. New wood shows through but it doesn't dominate the black fruits that give weight and ripeness. It shows the typical juiciness of the vintage. Drink from 2017.",,89,20.0,Bordeaux,Castillon Côtes de Bordeaux,,Roger Voss,@vossroger,Château Moya 2011  Castillon Côtes de Bordeaux,Bordeaux-style Red Blend,Château Moya
38782,38782,Spain,"Rubbery berry aromas are a touch herbal, gaseous and briny. A combination of choppy tannins and high acidity make for a jumpy mouthfeel, while acid-propelled flavors of plum and raspberry are fiery and long. Drink this organic blend of Garnacha Tintorera, Monastrell and Syrah through 2019.",Crux Càsa Benasal,89,25.0,Levante,Valencia,,Michael Schachner,@wineschach,Pago Casa Gran 2010 Crux Càsa Benasal Red (Valencia),Red Blend,Pago Casa Gran
68458,68458,Israel,"With a nose of cherry and smoked meats, this wine offers flavors of black plum, blackberry, cranberry and a touch of summer farm stand. Healthy tannins compensate for a sense of tartness by adding weight and volume to the palate.",Reserve,90,45.0,Galilee,,,Mike DeSimone,@worldwineguys,Flam 2014 Reserve Syrah (Galilee),Syrah,Flam
77949,77949,US,"A whisper of a wine made from Chardonnay grapes as a pétillant naturel, or pet-nat, this third vintage of Lily's Cuvée should prove as enormously popular as the prior two, dry, delicious and unbearably light. No sugar or yeast are added and the grapes are whole-cluster pressed. There's no better wine for midday picnics or hikes in the woods.",Lily's Cuvée,90,30.0,California,Anderson Valley,,Virginie Boone,@vboone,Donkey & Goat 2013 Lily's Cuvée Chardonnay (Anderson Valley),Chardonnay,Donkey & Goat
30048,30048,Argentina,"This smells mildly reduced and candied at first, with notes of blackberry, horse hide and licorice. Firm, chewy and lush on the palate, this full-force Malbec delivers ripe blackberry, boysenberry, spice and rooty licorice flavors prior to a spicy, dark finish that's bolstered by firm acidity. Drink through 2019.",Gran Reserva,90,30.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Larrea 2010 Gran Reserva Malbec (Mendoza),Malbec,Larrea
102163,102163,US,"Pressed plum and dried berry meet with leather on the nose, becoming a bit musty over time. The dusty flavors carry to the sip, where underripe bramble provides tang but little else.",,84,19.0,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Unparalleled 2014 Cabernet Sauvignon (Central Coast),Cabernet Sauvignon,Unparalleled
28702,28702,France,"Pale in color, this is a light, bright style of rosé. It is clean and crisp, with touches of red fruit that float through the attractive fresh acidity. The aftertaste is fleeting and refreshing.",L'Instant,87,18.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Château Barbanau 2015 L'Instant Rosé (Côtes de Provence),Rosé,Château Barbanau
108702,108702,France,"This impressive Champagne is rich while tight and mineral-textured. Creamy and ripe, it balances the weight of Pinot Noir with the elegance of Chardonnay. The producer's location in the relatively warm Aube region gives its wines extra fullness. This one is just now ready to drink.",Cuvée Symbiose Brut,92,40.0,Champagne,Champagne,,Roger Voss,@vossroger,Fluteau 2008 Cuvée Symbiose Brut  (Champagne),Champagne Blend,Fluteau
27968,27968,US,"Complemented by 9% Sémillon, this concentrated, creamy young wine is generous in pear, peach and subtle pineapple. Tart, it remains fresh and focused in the glass, with a lushness that's memorable and compelling. An impactful finish wraps things up nicely.",,91,21.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Groth 2014 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Groth
82608,82608,Italy,"Made entirely with Merlot, the shy nose eventually reveals notes of black-skinned fruit and clove. The dense palate delivers cedar, espresso and leather alongside gripping tannins.",La Historia di Italia,88,38.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Conte Ferdinando Guicciardini 2013 La Historia di Italia Merlot (Toscana),Merlot,Conte Ferdinando Guicciardini
78905,78905,US,"A pretty shade of pale pink, this dry and spicy rosé has a boisterous personality. Its watermelon and strawberry flavors come with a kick, showing real depth. Juicy acidity keeps it fresh and forward.",Rosé of,90,28.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Elizabeth Chambers 2016 Rosé of Pinot Noir (Willamette Valley),Pinot Noir,Elizabeth Chambers
114084,114084,US,"A very dry and firmly tannic wine, this doesn't give up much aroma, and the flavors also seem bound up with the astringent texture. With a bit of time some blueberry and blackberry aromas emerge, and flavors of black olive, too. This wine seems to require the most marbled steak to balance its austerity in texture, or perhaps 10 years in a cool cellar.",Black,85,75.0,California,Suisun Valley,North Coast,Jim Gordon,@gordone_cellars,Vellum 2012 Black Petit Verdot (Suisun Valley),Petit Verdot,Vellum
114611,114611,South Africa,"Sweet accents of vanilla bean and cedar spice up the red plum and raspberry core of this wine. Creamy and round in the mouth with soft tannins and a medium-length finish, this is a wine that's easy to enjoy now.",,87,11.0,Western Cape,,,Lauren Buzzeo,@laurbuzz,La Capra Presented by Fairview 2010 Pinotage (Western Cape),Pinotage,La Capra Presented by Fairview
92228,92228,France,"This is well-balanced and ripe, with plenty of room for both the attractive black fruits and the firm tannic structure. Wood aging shows, although it will integrate well. The wine is fruity, likely to be ready to drink from 2016.",Château Courbian,87,19.0,Bordeaux,Médoc,,Roger Voss,@vossroger,Producta Vignobles 2011 Château Courbian  (Médoc),Bordeaux-style Red Blend,Producta Vignobles
101058,101058,France,This is a fresh wine that also has a strong sense of structure. It's textured with white fruits coming through a nervy acidity and minerality. Hints of wood are tantalizing and round the wine out at the end.,Emile Beranger,89,,Burgundy,Pouilly-Fuissé,,Roger Voss,@vossroger,Georges Duboeuf 2011 Emile Beranger  (Pouilly-Fuissé),Chardonnay,Georges Duboeuf
25328,25328,Italy,"This attractive Brunello presents a wild, brambly side, with aromas of wild mushroom, forest floor, small berry and crème de cassis. It boasts a beautiful, deep color and plenty of concentration, with endnotes of spice, leather and dried tobacco leaf. The mouthfeel is solid, well defined and superbly structured.",Val di Suga,95,61.0,Tuscany,Brunello di Montalcino,,,,Tenimenti Angelini 2007 Val di Suga  (Brunello di Montalcino),Sangiovese Grosso,Tenimenti Angelini
88439,88439,US,"This is the winery's first commercial release of this varietal, all aged in neutral French oak. It offers nuanced aromas of spice, tobacco, vanilla and savory notes that are followed by plentiful, palate-coating red and blue-fruit flavors that extend out through a long, fruit and spice-filled finish. Firm tannins provide the structure. It needs time still but possesses a delicious factor that is impossible to ignore.",Stone Tree,93,28.0,Washington,Wahluke Slope,Columbia Valley,Sean P. Sullivan,@wawinereport,Waters 2012 Stone Tree Tempranillo (Wahluke Slope),Tempranillo,Waters
21135,21135,Chile,"Nectarine, apricot and botrytis aromas are sound but familiar. Round, full but not quite sticky, this tastes like toffee, honey and pear, with baking spice flavors, nutmeg in particular, on the finish.",Toro de Piedra Grand Reserve Late Harvest,88,12.0,Curicó Valley,,,Michael Schachner,@wineschach,Viña Requingua 2013 Toro de Piedra Grand Reserve Late Harvest Sauvignon Blanc-Semillon (Curicó Valley),Sauvignon Blanc-Semillon,Viña Requingua
13991,13991,US,"Estate grown from an historic vineyard planted by the producer's father, this wine is velvety smooth and decked in chocolate, densely rich and delicious in caramel and blackberry pie. Enjoyable now, it has the legs and structure to age through 2025–2030.",Aldo's Vineyard,93,78.0,California,Oak Knoll District,Napa,Virginie Boone,@vboone,Robert Biale 2013 Aldo's Vineyard Zinfandel (Oak Knoll District),Zinfandel,Robert Biale
94042,94042,Italy,"Packaged in an extremely heavy bottle, this opulent Amarone delivers knockout aromas of toasted almond, hickory smoke, pipe tobacco and spice. Fruit flavors of plum, prune and blackberry are followed by a much-needed touch of acidity that keeps the palate refreshed.",Tenuta Valleselle Aurum,90,25.0,Veneto,Amarone della Valpolicella Classico,,,,Tinazzi 2008 Tenuta Valleselle Aurum  (Amarone della Valpolicella Classico),"Corvina, Rondinella, Molinara",Tinazzi
98154,98154,Italy,"Subdued aromas of ripe dark-skinned berry, espresso and tobacco lead the nose while the soft, dense palate offers fleshy black cherry, blackberry extract, coffee and a hint of ground cooking spice. It's ripe and ready so enjoy soon.",Contado Riserva,88,18.0,Southern Italy,Molise,,Kerin O’Keefe,@kerinokeefe,Di Majo Norante 2012 Contado Riserva Aglianico (Molise),Aglianico,Di Majo Norante
40698,40698,US,"Marked by ripe flavors of raspberry and cherry jam, blueberry pie with the crust and black pepper, this Zin's fruit is the star. It's a little on the soft, direct side, but sure is delicious. Drink now.",Bacigalupi Vineyards,87,38.0,California,Russian River Valley,Sonoma,,,Graton Ridge 2009 Bacigalupi Vineyards Zinfandel (Russian River Valley),Zinfandel,Graton Ridge
7206,7206,US,"A whiff of pine needle runs through this wine, accenting its tight and trim red berry fruit. It's a mix of three clones that were aged in one quarter new French oak, which brings notes of vanilla and toast to its smooth finish.",Croft Vineyard,90,45.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Fullerton 2015 Croft Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Fullerton
26227,26227,Turkey,"Aromas of grapefruit, orange peel and freshly starched sheets give way to flavors of lemon curd, grapefruit, hazelnut and rose petal in this wine made of 100% Emir, a native Turkish variety. There is a sense of brightness on the palate, and the soft floral finish features a final spray of citrus.",,88,15.0,Turkey,,,Mike DeSimone,@worldwineguys,Turasan 2013 Emir (Turkey),Emir,Turasan
18836,18836,US,"Though two years older than the widely available Oregon bottling from Firesteed, this wine is almost its twin. Elegant and balanced, with light flavors of wild berry and an herbal underpinning.",,87,30.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Firesteed 2007 Pinot Noir (Willamette Valley),Pinot Noir,Firesteed
56182,56182,Argentina,"With acrid matchstick aromas and little else, this wine gets off to a rough start and never finds solid footing. The palate is chunky and grabby, while the flavors are burnt and stalky, with bitterness to the finish.",Premium Series,81,18.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Solo Contigo 2011 Premium Series Sauvignon Blanc (Mendoza),Sauvignon Blanc,Solo Contigo
84428,84428,Italy,"Aromas of wild herb, citrus, flint and orchard fruit lead the nose on this polished white. The bright palate offers up Bosc pear, sage, energizing mineral and a note of lemon zest. It's well balanced, with crisp acidity.",Praepositus,90,25.0,Northeastern Italy,Alto Adige Valle Isarco,,Kerin O’Keefe,@kerinokeefe,Abbazia di Novacella 2014 Praepositus Sylvaner (Alto Adige Valle Isarco),Sylvaner,Abbazia di Novacella
21673,21673,Italy,"A 50-50 blend of Sangiovese and Malvasia Nera, Maurleo shows a fresh, crisp quality with red cherry and wild berries in the foreground. Dig deeper and you'll find spice, toast and nutty tones as well.",Maurleo,88,18.0,Tuscany,Toscana,,,,Pietro Beconcini 2006 Maurleo Red (Toscana),Red Blend,Pietro Beconcini
1554,1554,US,"Aged entirely in neutral French oak, this wine takes a light, simplistic approach in its presentation of golden honey apple and pear flavor.",,85,28.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Bowman Cellars 2015 Chardonnay (Russian River Valley),Chardonnay,Bowman Cellars
28216,28216,US,"A nice everyday Chard, fairly rich in fruit, herb and spice flavors, and with a nice overlay of oak. Easy to drink and totally dry.",Handley Vineyard,85,20.0,California,Dry Creek Valley,Sonoma,,,Handley 2006 Handley Vineyard Chardonnay (Dry Creek Valley),Chardonnay,Handley
99732,99732,Portugal,"From a small vineyard in the hills of the Lisbon region, this is a deliciously fresh and fruity wine. It has great acidity from the local Arinto grapes that are blended with Antão Vaz and Viosinho. Grapefruit and a crisp, zesty texture are refreshing and lively. Drink now.",Vale da Mata Branco,89,21.0,Lisboa,,,Roger Voss,@vossroger,Herdade do Rocim 2014 Vale da Mata Branco White (Lisboa),Portuguese White,Herdade do Rocim
37068,37068,Australia,"A faint coppery-pink rosé, Taltarni's 2008 Taché is a blend of 58% Chardonnay, 37% Pinot Noir and 5% Pinot Meunier. It's lean and crisp, with a zesty, citrusy feel to the modest toast and mushroom flavors.",Taché,88,25.0,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Taltarni 2008 Taché Sparkling (South Eastern Australia),Sparkling Blend,Taltarni
117885,117885,US,"Hard tannins currently lock this wine down. Although it's astringent, it's very polished and complex. Made from Cabernet Franc, Merlot and Cabernet Sauvignon, in that order, it's marked by black cherry, red currant and cedar flavors, and finishes totally dry. The vineyard is in the cool Oak Knoll District, which helps explain the acidity and tightness. Difficult to predict if it will age.",Paramour,92,125.0,California,Napa Valley,Napa,,,Blackbird Vineyards 2009 Paramour Red (Napa Valley),Bordeaux-style Red Blend,Blackbird Vineyards
26795,26795,France,"This warm, rounded and ripe wine offers balanced fruit and acidity. A crisp edge to the rich pear and spicy flavor is lifted by an attractive touch of cinnamon. The final acidity is steely, bringing in a mineral element. Drink now.",Domaine Chataigneraie-Laborier Terroirs de Vergisson,90,32.0,Burgundy,Pouilly-Fuissé,,Roger Voss,@vossroger,Domaine Gilles Morat 2014 Domaine Chataigneraie-Laborier Terroirs de Vergisson  (Pouilly-Fuissé),Chardonnay,Domaine Gilles Morat
60241,60241,US,"From an organically farmed block planted entirely to the Pommard clone, this wine offers strawberry, earth and black tea, diluted slightly by a tannic underbite that competes with the fruit. Softly structured, it grips further on the finish.",Don Miguel Vineyard Earthquake Block,87,52.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Marimar Estate 2013 Don Miguel Vineyard Earthquake Block Pinot Noir (Russian River Valley),Pinot Noir,Marimar Estate
127877,127877,France,The wine is structured while also juicy. Its red-berry fruits are in the process of coming together with the tannins to give a rich wine. It has plenty of acidity at the end to give a crisp aftertaste.,Cuvée Alix,87,20.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Panchille 2015 Cuvée Alix  (Bordeaux Supérieur),Bordeaux-style Red Blend,Château Panchille
90,90,US,"This blend of Sangiovese, Malbec, Cabernet Sauvignon, Petite Sirah and other varieties plays well to type. It shows a wealth of ripe, dusty black fruit that's richly round and soft on the palate, approachable and lightly oaked.",Siena,88,23.0,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Ferrari-Carano 2014 Siena Red (Sonoma County),Red Blend,Ferrari-Carano
102974,102974,US,"This is a bold and expressive but not overly big wine. It smells wonderfully like clove and coriander, and tastes generously focused on classic black cherry and cedar notes. It's full bodied, but has great acidity and a lively layer of tannins to keep it balanced and refreshing.",Azaya Ranch Vineyard,93,58.0,California,Marin County,North Coast,Jim Gordon,@gordone_cellars,Dutton-Goldfield 2013 Azaya Ranch Vineyard Pinot Noir (Marin County),Pinot Noir,Dutton-Goldfield
70213,70213,US,"This is an impressive effort, especially at the price, which is kind of unheard of in these parts. Softened by 9% Merlot, it's rich and full-bodied without ever overdoing it, opaque in color with a nose of baked bread and flavors of raspberry and black currant. It's food-ready.",,90,25.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Buehler 2013 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Buehler
75990,75990,France,"This reasonably priced Hermitage shows the appellation's hallmark gamy notes. It's a sturdy, moderately full-bodied wine with a richly textured finish. Drink now–2025.",,89,50.0,Rhône Valley,Hermitage,,Joe Czerwinski,@JoeCz,Louis Bernard 2010  Hermitage,Syrah,Louis Bernard
22257,22257,France,This is the entry-level wine from this estate situated in the small area of Coteaux Varois. It is a really fruity blend of Grenache and Cinsault. Bright red fruits and crisp acidity give a dry wine with great fruitiness. Drink now.,,88,18.0,Provence,Coteaux Varois en Provence,,Roger Voss,@vossroger,Château d'Ollières 2016 Rosé (Coteaux Varois en Provence),Rosé,Château d'Ollières
28164,28164,France,"This dense and dark wine offers spice and toast flavors. It has a big, generous feel, leaving room both for the dry, still-young tannins and for aromatic blackberry fruits. It does need to age, so drink from 2017.",Tradition,90,16.0,Southwest France,Cahors,,Roger Voss,@vossroger,Château Eugénie 2012 Tradition Malbec-Merlot (Cahors),Malbec-Merlot,Château Eugénie
59446,59446,US,"An easy Chard, with good varietal character and a nice, dry finish. Crisp acids and a rich coating of oak enhance the modest pineapple, peach and pear flavors.",,85,15.0,California,Napa Valley,Napa,,,Beaulieu Vineyard 2006 Chardonnay (Napa Valley),Chardonnay,Beaulieu Vineyard
81675,81675,US,"This is one of the more interesting rosés of the vintage, in part because it is almost as hay-colored as a white wine and doesn't adhere to the standard pink profile. Aromas of crushed Marcona almonds, sea salt and oak smoke show on the nose, and the acid-driven palate continues that nutty and smokey drive. It's intriguing and unique, though not particularly pink.",,88,38.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Daou 2016 Rosé (Paso Robles),Rosé,Daou
122247,122247,US,"The oak—a mixture of new and used French and American—takes the lead on this wine, with aromas and flavors of vanilla, cocoa and coffee out in front of plum and dark fruit. There's a pleasing mixture of richness and lightness. The variety gets a bit subsumed but there's still much to enjoy.",Stillwater Creek Vineyard,90,28.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Novelty Hill 2012 Stillwater Creek Vineyard Malbec (Columbia Valley (WA)),Malbec,Novelty Hill
103818,103818,US,"A sweet-smelling wine with notes of overripe pear, pineapple and jasmine. It also drinks quite sweet (26g/L residual sugar) but doesn't have the acid or flavor concentration to match.",,84,9.0,Washington,Washington,Washington Other,Sean P. Sullivan,@wawinereport,Paradise Peak 2012 Riesling (Washington),Riesling,Paradise Peak
123874,123874,France,"The blend of delightfully crisp wine is based around three years of reserve wines. It is creamy, with just a hint of toastiness. The acidity and ripe apple combine well with this touch of bottle age to give a wine that is ready to drink.",Blanc de Blancs Brut,91,37.0,Champagne,Champagne,,Roger Voss,@vossroger,Vollereaux NV Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Vollereaux
61476,61476,US,"While relatively full-bodied and tannic, this wine also has friendly, fresh berry and cherry flavors that are held in place by very firm acidity and tannins. It feels and tastes generous but also strong and taut, so it should improve with a little time. Best to drink now through 2020.",Made with Organically Grown Grapes,90,22.0,California,Sierra Foothills,Sierra Foothills,Jim Gordon,@gordone_cellars,Chacewater 2013 Made with Organically Grown Grapes Syrah (Sierra Foothills),Syrah,Chacewater
97899,97899,Portugal,"Light and fragrant, a perfumed wine, with flavors of almond and refreshing acidity. It feels warm, with pear and lime flavors combining well.",Branco,85,8.0,Alenquer,,,Roger Voss,@vossroger,Quinta do Carneiro 2009 Branco White (Alenquer),Portuguese White,Quinta do Carneiro
32029,32029,US,"This well-made wine offers cherry pie flavors, evoking fruit but also crust, with excellent concentration and length. Despite its modest alcohol, it's a persistent, powerful rosé with enough concentration to stand up to entrées as rich as roast pork or chicken.",Pinot Noir,91,20.0,Oregon,Eola-Amity Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Paetra 2016 Pinot Noir Rosé (Eola-Amity Hills),Rosé,Paetra
114486,114486,Italy,"A blend of Merlot, Malbec and Caberent Franc, this opens with enormous fruit purity, backed by luscious tones of oak spice and tobacco. The wine's two sensations—sweet and savory—are well integrated. Fresh acidity and firm structure complete the mouthfeel.",Lenaia,89,35.0,Tuscany,Toscana,,,,Casa di Terra 2011 Lenaia Red (Toscana),Red Blend,Casa di Terra
123255,123255,Italy,"This is a luminous, creamy expression of Coda di Volpe that delivers aromas of stone fruit, pineapple, apricot and yellow rose. The mouthfeel is short and compact, but it does show nice density while it lasts.",Versacrum,85,18.0,Southern Italy,Lacryma Christi del Vesuvio,,,,Sorrentino 2009 Versacrum Coda di Volpe (Lacryma Christi del Vesuvio),Coda di Volpe,Sorrentino
27782,27782,Italy,"This very special property in Bolgheri includes one of Italy's most important experimental vineyards. Among the various wines made here, this super Tuscan blend opens with plush berry and spice notes as well as leather, roasted almond and ground clove.",Guado al Melo Rosso,90,26.0,Tuscany,Bolgheri,,,,Podere Guado al Melo 2008 Guado al Melo Rosso  (Bolgheri),Red Blend,Podere Guado al Melo
82555,82555,France,"This vineyard close to the Mediterranean has produced a ripe wine with a cool, crisp texture and a touch of saltiness. Taken together, these elements give plenty of crispness, black currant fruitiness and a layer of tannin at the end. Drink from 2018.",,88,20.0,France Other,Corse,,Roger Voss,@vossroger,Domaine Petroni 2015 Red (Corse),Red Blend,Domaine Petroni
86850,86850,Argentina,"Grainy oak and green aromas rest on top of generic red-fruit scents. This feels chunky, blocky and tannic, with herbaceous medicinal flavors of tomato, oak resin and green herbs. A spicy saucy-tasting finish holds onto the wine's minty green herbal essence.",Gran Reserve,84,22.0,Mendoza Province,Luján de Cuyo,,Michael Schachner,@wineschach,Loscano 2010 Gran Reserve Cabernet Sauvignon (Luján de Cuyo),Cabernet Sauvignon,Loscano
22303,22303,France,The Jonck family's wine is dense and still young with firm tannins. It has excellent potential because the ripe berry fruits are right there to give richness and flesh out the tannins. Spice and acidity fill the background. Drink this fine wine from 2019.,Espérance,90,22.0,Bordeaux,Blaye Côtes de Bordeaux,,Roger Voss,@vossroger,Château l'Espérance 2014 Espérance  (Blaye Côtes de Bordeaux),Bordeaux-style Red Blend,Château l'Espérance
28549,28549,France,"Black currant fruits dominate this ripe, stalky wine that has young tannins and a smoky cedar character that comes from light wood aging. It's dry, firm and ready to drink.",,85,12.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château Briot 2011  Bordeaux,Bordeaux-style Red Blend,Château Briot
83490,83490,US,"A lovely Cabernet. Shows the softness and herbaceousness that mark Alexander Valley Cabs, but in a good way, with a streak of red cherries, tobacco and sandalwood. Fine now with a good steak.",,88,25.0,California,Alexander Valley,Sonoma,,,Courtney Benham 2008 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Courtney Benham
71687,71687,New Zealand,"This wine's cranberry and raspberry fruit is framed by scents of smoky, toasty oak. It's light in body, with a tart, tangy finish. Try it with seafood dishes that can handle a light red, like grilled or broiled salmon.",,86,23.0,Wairau Valley,,,Joe Czerwinski,@JoeCz,Wither Hills 2011 Pinot Noir (Wairau Valley),Pinot Noir,Wither Hills
20547,20547,US,"A Cabernet Sauvignon from historic Livermore Valley vineyards, including Ghielmetti, Home Ranch and Smith Ranch, all single-vineyard designated Cabernets in their own right, The Premier represents the winery's best of the überbest, aged entirely in new French oak. With aromas of raspberry, currant and coconut, the wine is balanced and relatively austere, light in weight with a long finish. A hint of tobacco and licorice round things out. This is a lovely wine that's ready to age.",The Premier,92,100.0,California,Livermore Valley,Central Coast,Virginie Boone,@vboone,Steven Kent 2010 The Premier Cabernet Sauvignon (Livermore Valley),Cabernet Sauvignon,Steven Kent
119359,119359,Spain,"Lightly pickled, briny aromas are distant. In the mouth, this feels pinched and high in citric acid, but also refined. Flavors of grapefruit and passion fruit are tart, while lime and tangerine flavors are prominent on a briny, tart finish.",Cupatge d'Honor Brut,87,29.0,Catalonia,Cava,,Michael Schachner,@wineschach,Pere Ventura 2011 Cupatge d'Honor Brut Sparkling (Cava),Sparkling Blend,Pere Ventura
